,num,waka
42,42,　　　ちぎりきな かたみにそでを しぼりつつ すゑのまつやま なみこさじとは
43,43,　　　あひみての のちのこころに くらぶれば むかしはものを おもはざりけり
44,44,　　　あふことの たえてしなくは なかなかに ひとをもみをも うらみざらまし
45,45,　　　あはれとも いふべきひとは おもほえで みのいたづらに なりぬべきかな
46,46,　　　ゆらのとを わたるふなびと かぢをたえ ゆくへもしらぬ こひのみちかな
47,47,　　　やへむぐら しげれるやどの さびしきに ひとこそみえね あきはきにけり
48,48,　　　かぜをいたみ いはうつなみの おのれのみ くだけてものを おもふころかな
49,49,　　　みかきもり ゑじのたくひの よるはもえ ひるはきえつつ ものをこそおもへ
50,50,　　　燃ゆ　　消ゆ
51,51,　　　きみがため をしからざりし いのちさへ ながくもがなと おもひけるかな
52,52,　　　かくとだに えやはいぶきの さしもぐさ さしもしらじな もゆるおもひを
53,53,　　　あけぬれば くるるものとは しりながら なほうらめしき あさぼらけかな
54,54,　　　なげきつつ ひとりぬるよの あくるまは いかにひさしき ものとかはしる
55,55,　　　わすれじの ゆくすゑまでは かたければ けふをかぎりの いのちともがな
56,56,　　　たきのおとは たえてひさしく なりぬれど なこそながれて なほきこえけれ
57,57,　　　あらざらむ このよのほかの おもひでに いまひとたびの あふこともがな
58,58,　　　めぐりあひて みしやそれとも わかぬまに くもがくれにし よはのつきかな
59,59,　　　ありまやま ゐなのささはら かぜふけば いでそよひとを わすれやはする
60,60,　　　やすらはで ねなましものを さよふけて かたぶくまでの つきをみしかな
61,61,　　　おほえやま いくののみちの とほければ まだふみもみず あまのはしだて
62,62,　　　いにしへの ならのみやこの やへざくら けふここのへに にほひぬるかな
63,63,　　　よをこめて とりのそらねは はかるとも よにあふさかの せきはゆるさじ
64,64,　　　いまはただ おもひたえなむ とばかりを ひとづてならで いふよしもがな
65,65,　　　あさぼらけ うぢのかはぎり たえだえに あらはれわたる せぜのあじろぎ
66,66,　　　うらみわび ほさぬそでだに あるものを こひにくちなむ なこそをしけれ
67,67,　　　もろともに あはれとおもへ やまざくら はなよりほかに しるひともなし
68,68,　　　はるのよの ゆめばかりなる たまくらに かひなくたたむ なこそをしけれ
69,69,　　　こころにも あらでうきよに ながらへば こひしかるべき よはのつきかな
70,70,　　　あらしふく みむろのやまの もみぢばは たつたのかはの にしきなりけり
71,71,　　　さびしさに やどをたちいでて ながむれば いづくもおなじ あきのゆふぐれ
72,72,　　　ゆふされば かどたのいなば おとづれて あしのまろやに あきかぜぞふく
73,73,　　　おとにきく たかしのはまの あだなみは かけじやそでの ぬれもこそすれ
74,74,　　　たかさごの をのへのさくら さきにけり とやまのかすみ たたずもあらなむ
75,75,　　　うかりける ひとをはつせの やまおろしよ はげしかれとは いのらぬものを
76,76,　　　ちぎりおきし させもがつゆを いのちにて あはれことしの あきもいぬめり
77,77,　　　わたのはら こぎいでてみれば ひさかたの くもゐにまがふ おきつしらなみ
78,78,　　　せをはやみ いはにせかるる たきがはの われてもすゑに あはむとぞおもふ
79,79,　　　あはぢしま かよふちどりの なくこゑに いくよねざめぬ すまのせきもり
80,80,　　　あきかぜに たなびくくもの たえまより もれいづるつきの かげのさやけさ
81,81,　　　ながからむ こころもしらず くろかみの みだれてけさは ものをこそおもへ
82,82,　　　ほととぎす なきつるかたを ながむれば ただありあけの つきぞのこれる
83,83,　　　おもひわび さてもいのちは あるものを うきにたへぬは なみだなりけり
84,84,　　　よのなかよ みちこそなけれ おもひいる やまのおくにも しかぞなくなる
85,85,　　　ながらへば またこのごろや しのばれむ うしとみしよぞ いまはこひしき
86,86,　　　よもすがら ものおもふころは あけやらぬ ねやのひまさへ つれなかりけり
87,87,　　　なげけとて つきやはものを おもはする かこちがほなる わがなみだかな
88,88,　　　むらさめの つゆもまだひぬ まきのはに きりたちのぼる あきのゆふぐれ
89,89,　　　なにはえの あしのかりねの ひとよゆゑ みをつくしてや こひわたるべき
90,90,　　　たまのをよ たえなばたえね ながらへば しのぶることの よわりもぞする
91,91,　　　みせばやな をじまのあまの そでだにも ぬれにぞぬれし いろはかはらず
92,92,　　　きりぎりす なくやしもよの さむしろに ころもかたしき ひとりかもねむ
93,93,　　　わがそでは しほひにみえぬ おきのいしの ひとこそしらね かわくまもなし
94,94,　　　よのなかは つねにもがもな なぎさこぐ あまのこぶねの つなでかなしも
95,95,　　　みよしのの やまのあきかぜ さよふけて ふるさとさむく ころもうつなり
96,96,　　　おほけなく うきよのたみに おほふかな わがたつそまに すみぞめのそで
97,97,　　　はなさそふ あらしのにはの ゆきならで ふりゆくものは わがみなりけり
98,98,　　　こぬひとを まつほのうらの ゆふなぎに やくやもしほの みもこがれつつ
99,99,　　　かぜそよぐ ならのをがはの ゆふぐれは みそぎぞなつの しるしなりける
100,100,　　　ひともをし ひともうらめし あぢきなく よをおもふゆゑに ものおもふみは
101,101,　　　　ももしきや ふるきのきばの しのぶにも なほあまりある むかしなりけり
